Satellite Name,Orbital Location,Beam Name,Type,Frequency Range (MHz),EIRP (dBW) / G/T (dB/K),Service Area 1,Service Area 2,Service Area 3,Service Area 4,Service Area 5,Service Area 6,Band,Bandwidth Capacity (MHz),Modulation,FEC,Integrated
AMC-4,-135,CTH,Transmit,3700.0 - 4200.0,41.52 (EIRP),Pacific Ocean,North America,,,,,C-Band,36,QPSK,0.5,1
AMC-4,-135,KSTH,Transmit,11450.0 - 12200.0,50.91 (EIRP),Pacific Ocean,North America,,,,,"X-Band, Ku-Band",36,QPSK,0.5,1
AMC-4,-135,KSTV,Transmit,11450.0 - 12200.0,51.21 (EIRP),Pacific Ocean,North America,,,,,"X-Band, Ku-Band",36,QPSK,0.5,1
AMC-4,-135,KNTV,Transmit,11450.0 - 12200.0,52.39 (EIRP),Pacific Ocean,North America,,,,,"X-Band, Ku-Band",36,QPSK,0.5,1
AMC-4,-135,CTM,Transmit,3700.0 - 4200.0,7.6 (EIRP),Global,,,,,,C-Band,0.65,QPSK,0.5,1
AMC-4,-135,KNTH,Transmit,11450.0 - 12200.0,52.47 (EIRP),Pacific Ocean,North America,,,,,"X-Band, Ku-Band",36,QPSK,0.5,1
AMC-4,-135,DNV,Transmit,11700.0 - 12200.0,52.39 (EIRP),Pacific Ocean,North America,,,,,"X-Band, Ku-Band",36,QPSK,0.5,1
AMC-4,-135,DNH,Transmit,11700.0 - 12200.0,52.47 (EIRP),Pacific Ocean,North America,,,,,"X-Band, Ku-Band",36,QPSK,0.5,1
AMC-4,-135,DSH,Transmit,11700.0 - 12200.0,50.91 (EIRP),Pacific Ocean,North America,,,,,"X-Band, Ku-Band",36,QPSK,0.5,1
AMC-4,-135,DSV,Transmit,11700.0 - 12200.0,51.21 (EIRP),Pacific Ocean,North America,,,,,"X-Band, Ku-Band",36,QPSK,0.5,1
ANIK F1,-109.2,K18S-K32S,Receive,14000.0 - 14500.0,3.6 to 3.9 (G/T),Continental United States,Caribbean,Central America,,,,Ku-Band,27,QPSK,0.5,0
ANIK F1,-109.2,CMD,Receive,14498.75 - 14499.75,-32.5 (G/T),Cheyenne WY,,,,,,Ku-Band,1,QPSK,0.5,0
ANIK F1,-109.2,K01S-K17S,Receive,14000.0 - 14500.0,3.6 to 3.9 (G/T),Continental United States,Caribbean,Central America,,,,Ku-Band,27,QPSK,0.5,0
ANIK F1,-109.2,T01S-T32S,Transmit,11700.0 - 12200.0,49.2 to 51.3 (EIRP),Continental United States,Caribbean,Central America,,,,"X-Band, Ku-Band",27,QPSK,0.5,0
ANIK F1,-109.2,TM1,Transmit,11700.1 - 11700.4,15.0 (EIRP),Global,,,,,,X-Band,0.3,QPSK,0.5,0
ANIK F1,-109.2,TM2,Transmit,11700.6 - 11700.9,15.0 (EIRP),Global,,,,,,X-Band,0.3,QPSK,0.5,0
ANIK F1R,-107.3,CNT,Transmit,3700.0 - 4200.0,43.0 (EIRP),Canada,United States,Alaska,Hawaii,,,C-Band,36,QPSK,0.6,0
ANIK F1R,-107.3,CNR,Receive,5925.0 - 6425.0,1.0 (G/T),Canada,United States,Alaska,Hawaii,,,C-Band,36,QPSK,0.875,0
ANIK F1R,-107.3,KNT,Transmit,11700.0 - 12200.0,52.5 (EIRP),Canada,United States,Alaska,Hawaii,,,"X-Band, Ku-Band",27,8PSK,0.875,0
ANIK F1R,-107.3,KNR,Receive,14000.0 - 14500.0,9.0 (G/T),Canada,United States,Alaska,Hawaii,,,Ku-Band,27,8PSK,0.875,0
ARSAT-2,-81,CUH,Receive,17300.0 - 17800.0,3.7 (G/T),South America,,,,,,Ku-Band,72,QPSK,0.75,0
ARSAT-2,-81,CUV,Receive,17300.0 - 17800.0,3.7 (G/T),South America,,,,,,Ku-Band,72,QPSK,0.75,0
ARSAT-2,-81,KNUH,Receive,14000.0 - 14500.0,8.0 (G/T),South America,,,,,,Ku-Band,72,QPSK,0.75,0
ARSAT-2,-81,KNUV,Receive,14000.0 - 14500.0,8.0 (G/T),South America,,,,,,Ku-Band,72,QPSK,0.75,0
ARSAT-2,-81,CDH,Transmit,11700.0 - 12200.0,41.9 (EIRP),South America,,,,,,"X-Band, Ku-Band",72,QPSK,0.75,0
ARSAT-2,-81,CDV,Transmit,11700.0 - 12200.0,41.9 (EIRP),South America,,,,,,"X-Band, Ku-Band",72,QPSK,0.75,0
ARSAT-2,-81,KNDH,Transmit,11700.0 - 12200.0,51.9 (EIRP),South America,,,,,,"X-Band, Ku-Band",72,QPSK,0.75,0
ARSAT-2,-81,KNDV,Transmit,11700.0 - 12200.0,51.9 (EIRP),South America,,,,,,"X-Band, Ku-Band",72,QPSK,0.75,0
ARSAT-2,-81,TMH,Transmit,11700.0 - 12200.0,18.65 (EIRP),South America,,,,,,"X-Band, Ku-Band",0.25,QPSK,0.75,0
ARSAT-2,-81,TMV,Transmit,11700.0 - 12200.0,18.65 (EIRP),South America,,,,,,"X-Band, Ku-Band",0.25,QPSK,0.75,0
ASIASTAR,21,X1,Receive,7025.0 - 7075.0,-8.0 (G/T),Middle East,Africa,Southern Europe,,,,C-Band,50,QPSK,0.75,0
ASIASTAR,21,TM2,Transmit,1491.0 - 1492.0,9.0 (EIRP),Global,,,,,,L-Band,1,QPSK,0.75,0
ASIASTAR,21,TM1,Transmit,1452.0 - 1453.0,9.0 (EIRP),Global,,,,,,L-Band,1,QPSK,0.75,0
ASIASTAR,21,L6,Transmit,1486.584 - 1489.184,53.7 (EIRP),Global,,,,,,L-Band,2.6,QPSK,0.75,0
ASIASTAR,21,L5,Transmit,1480.144 - 1482.744,53.7 (EIRP),Global,,,,,,L-Band,2.6,QPSK,0.75,0
ASIASTAR,21,L4,Transmit,1471.864 - 1474.464,53.7 (EIRP),Global,,,,,,L-Band,2.6,QPSK,0.75,0
ASIASTAR,21,L3,Transmit,1484.284 - 1486.884,53.7 (EIRP),Global,,,,,,L-Band,2.6,QPSK,0.75,0
ASIASTAR,21,L2,Transmit,1469.564 - 1472.164,53.7 (EIRP),Global,,,,,,L-Band,2.6,QPSK,0.75,0
ASIASTAR,21,L1,Transmit,1476.004 - 1478.604,53.7 (EIRP),Global,,,,,,L-Band,2.6,QPSK,0.75,0
CIEL-6I,-103,KAUL,Receive,24750.0 - 25250.0,7.4 (G/T),North America,Alaska,Hawaii,,,,Ku-Band,500,QPSK,0.5,1
CIEL-6I,-103,KADL,Transmit,17300.0 - 17800.0,33.6 (EIRP),North America,Alaska,Hawaii,,,,Ku-Band,500,QPSK,0.5,1
CIEL-6I,-103,KAD,Transmit,17300.0 - 17800.0,33.6 (EIRP),North America,Alaska,Hawaii,,,,Ku-Band,500,QPSK,0.5,1
ECHOSTAR 11,-110,RR1,Receive,17300.0 - 17800.0,7.6 (G/T),Cheyenne WY,,,,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 11,-110,RL1,Receive,17300.0 - 17800.0,7.6 (G/T),Cheyenne WY,,,,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 11,-110,RR2,Receive,17300.0 - 17800.0,6.7 (G/T),Gilbert AZ,,,,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 11,-110,RL2,Receive,17300.0 - 17800.0,6.7 (G/T),Gilbert AZ,,,,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 11,-110,OMN,Receive,17300.0 - 17800.0,-37.0 (G/T),Global,,,,,,Ku-Band,1,QPSK,0.5,1
ECHOSTAR 11,-110,TRH,Transmit,12200.0 - 12700.0,56.2 (EIRP),Continental United States,,,,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 11,-110,TLH,Transmit,12200.0 - 12700.0,56.2 (EIRP),Continental United States,,,,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 11,-110,TRS,Transmit,12200.0 - 12700.0,58.8 (EIRP),Continental United States,,,,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 11,-110,TLS,Transmit,12200.0 - 12700.0,58.8 (EIRP),Continental United States,,,,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 11,-110,OMN,Transmit,12200.0 - 12700.0,14.8 (EIRP),Global,,,,,,Ku-Band,1,QPSK,0.5,1
ECHOSTAR 11,-110,TMO,Transmit,12200.0 - 12700.0,17.2 (EIRP),Continental United States,,,,,,Ku-Band,1,QPSK,0.5,1
ECHOSTAR 23,-110,RX2L,Receive,17300.0 - 17800.0,17.6 (G/T),Global,,,,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 23,-110,RX2R,Receive,17300.0 - 17800.0,17.6 (G/T),Global,,,,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 23,-110,RX1L,Receive,17300.0 - 17800.0,17.6 (G/T),Global,,,,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 23,-110,RX1R,Receive,17300.0 - 17800.0,17.6 (G/T),Global,,,,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 23,-110,CMDR,Receive,17790.5 - 17791.5,3.8 (G/T),Global,,,,,,Ku-Band,1,QPSK,0.5,1
ECHOSTAR 23,-110,CMDL,Receive,17300.0 - 17310.0,3.8 (G/T),Global,,,,,,Ku-Band,1,QPSK,0.5,1
ECHOSTAR 23,-110,TXL,Transmit,12200.0 - 12700.0,59.4 (EIRP),Continental United States,Alaska,Hawaii,Puerto Rico,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 23,-110,TXR,Transmit,12200.0 - 12700.0,59.4 (EIRP),Continental United States,Alaska,Hawaii,Puerto Rico,,,Ku-Band,24,QPSK,0.6912,1
ECHOSTAR 23,-110,TLM,Transmit,12200.0 - 12210.0,14.8 (EIRP),Global,,,,,,Ku-Band,1,QPSK,0.5,1
ECHOSTAR XXIV,-95,GR3L,Receive,28600.0 - 29100.0,28.8 (G/T),North America,Central America,South America,,,,Ka-Band,500,QPSK,0.5,1
ECHOSTAR XXIV,-95,CMD1,Receive,29992.0 - 29997.0,29.8 (G/T),North America,Central America,South America,,,,Ka-Band,2,QPSK,0.5,1
ECHOSTAR XXIV,-95,UT5R,Transmit,18300.0 - 19300.0,63.7 (EIRP),North America,Central America,South America,,,,Ku-Band,1000,QPSK,0.5,1
ECHOSTAR XXIV,-95,UT5L,Transmit,18300.0 - 19300.0,63.7 (EIRP),North America,Central America,South America,,,,Ku-Band,1000,QPSK,0.5,1
ECHOSTAR XXIV,-95,UT3R,Transmit,18300.0 - 19300.0,60.5 (EIRP),North America,Central America,South America,,,,Ku-Band,1000,QPSK,0.5,1
ECHOSTAR XXIV,-95,UT3L,Transmit,18300.0 - 19300.0,60.5 (EIRP),North America,Central America,South America,,,,Ku-Band,1000,QPSK,0.5,1
ECHOSTAR XXIV,-95,UT1R,Transmit,18300.0 - 19300.0,69.0 (EIRP),North America,Central America,South America,,,,Ku-Band,1000,QPSK,0.5,1
ECHOSTAR XXIV,-95,UT1L,Transmit,18300.0 - 19300.0,69.0 (EIRP),North America,Central America,South America,,,,Ku-Band,1000,QPSK,0.5,1
ECHOSTAR XXIV,-95,GT1L,Transmit,40000.0 - 42000.0,63.7 (EIRP),North America,Central America,South America,,,,Ka-Band,2000,QPSK,0.5,1
ECHOSTAR XXIV,-95,GT1R,Transmit,40000.0 - 42000.0,63.7 (EIRP),North America,Central America,South America,,,,Ka-Band,2000,QPSK,0.5,1
ECHOSTAR XXIV,-95,VT5R,Transmit,19700.0 - 20200.0,57.8 (EIRP),North America,Central America,South America,,,,Ku-Band,500,QPSK,0.5,1
ECHOSTAR XXIV,-95,VT5L,Transmit,19700.0 - 20200.0,57.8 (EIRP),North America,Central America,South America,,,,Ku-Band,500,QPSK,0.5,1
ECHOSTAR XXIV,-95,VT3R,Transmit,19700.0 - 20200.0,60.5 (EIRP),North America,Central America,South America,,,,Ku-Band,500,QPSK,0.5,1
ECHOSTAR XXIV,-95,VT3L,Transmit,19700.0 - 20200.0,60.5 (EIRP),North America,Central America,South America,,,,Ku-Band,500,QPSK,0.5,1
ECHOSTAR XXIV,-95,VT1R,Transmit,19700.0 - 20200.0,69.0 (EIRP),North America,Central America,South America,,,,Ku-Band,500,QPSK,0.5,1
ECHOSTAR XXIV,-95,VT1L,Transmit,19700.0 - 20200.0,69.0 (EIRP),North America,Central America,South America,,,,Ku-Band,500,QPSK,0.5,1
ECHOSTAR-15,-72.6,NAR,Receive,17300.0 - 17800.0,-10.0 (G/T),Cheyenne WY,,,,,,Ku-Band,24,QPSK,0.667,1
ECHOSTAR-15,-72.6,NAR,Receive,17300.0 - 17800.0,-10.0 (G/T),Gilbert AZ,,,,,,Ku-Band,24,QPSK,0.667,1
ECHOSTAR-15,-72.6,RR1,Receive,17300.0 - 17800.0,7.6 (G/T),Cheyenne WY,,,,,,Ku-Band,24,QPSK,0.667,1
ECHOSTAR-15,-72.6,RL1,Receive,17300.0 - 17800.0,7.6 (G/T),Cheyenne WY,,,,,,Ku-Band,24,QPSK,0.667,1
ECHOSTAR-15,-72.6,RR2,Receive,17300.0 - 17800.0,7.4 (G/T),Gilbert AZ,,,,,,Ku-Band,24,QPSK,0.667,1
ECHOSTAR-15,-72.6,RL2,Receive,17300.0 - 17800.0,7.4 (G/T),Gilbert AZ,,,,,,Ku-Band,24,QPSK,0.667,1
ECHOSTAR-15,-72.6,TEL,Transmit,12200.0 - 12700.0,58.1 (EIRP),Continental United States,,,,,,Ku-Band,24,QPSK,0.667,1
ECHOSTAR-15,-72.6,TER,Transmit,12200.0 - 12700.0,58.1 (EIRP),Continental United States,,,,,,Ku-Band,24,QPSK,0.667,1
ECHOSTAR-15,-72.6,TMO,Transmit,12200.0 - 12700.0,18.0 (EIRP),Continental United States,,,,,,Ku-Band,24,QPSK,0.667,1
ECHOSTAR-15,-72.6,TWL,Transmit,12200.0 - 12700.0,58.1 (EIRP),Continental United States,,,,,,Ku-Band,24,QPSK,0.667,1
ECHOSTAR-15,-72.6,TWR,Transmit,12200.0 - 12700.0,58.1 (EIRP),Continental United States,,,,,,Ku-Band,24,QPSK,0.667,1
ECHOSTAR-18,-61.35,CMD,Receive,17790.0 - 17800.0,-17.4 (G/T),Continental United States,,,,,,Ku-Band,1,QPSK,0.25,1
ECHOSTAR-18,-61.35,OMN,Receive,17302.5 - 17303.5,-29.4 (G/T),Global,,,,,,Ku-Band,1,QPSK,0.25,1
ECHOSTAR-18,-61.35,TLMR,Transmit,12690.0 - 12700.0,14.3 (EIRP),Continental United States,,,,,,Ku-Band,1,QPSK,0.25,1
ECHOSTAR-18,-61.35,TLML,Transmit,12202.5 - 12204.5,14.3 (EIRP),Continental United States,,,,,,Ku-Band,1,QPSK,0.25,1
EchoStar-9,-121,KURH,Receive,14000.0 - 14500.0,7.7 (G/T),Continental United States,Mexico,Canada,Caribbean,,,Ku-Band,36,QPSK,0.691,1
EchoStar-9,-121,KURV,Receive,14000.0 - 14500.0,-7.77 (G/T),Continental United States,Canada,Mexico,Caribbean,,,Ku-Band,36,QPSK,0.691,1
EchoStar-9,-121,KUTH,Transmit,11700.0 - 12200.0,53.45 (EIRP),Continental United States,Canada,Mexico,Caribbean,,,"X-Band, Ku-Band",36,QPSK,0.691,1
EchoStar-9,-121,KUTV,Transmit,11700.0 - 12200.0,54.86 (EIRP),Continental United States,Canada,Mexico,Caribbean,,,"X-Band, Ku-Band",36,QPSK,0.691,1
ESTRELA DO SUL 2,-63,ARX,Receive,13750.0 - 14500.0,5.9 (G/T),Andean Region,,,,,,Ku-Band,36,QPSK,0.667,
ESTRELA DO SUL 2,-63,BRX,Receive,13750.0 - 14500.0,6.9 (G/T),Brazil,,,,,,Ku-Band,36,QPSK,0.667,
ESTRELA DO SUL 2,-63,URX,Receive,13750.0 - 14500.0,5.9 (G/T),United States,,,,,,Ku-Band,36,QPSK,0.667,
ESTRELA DO SUL 2,-63,NRX,Receive,13750.0 - 14500.0,5.9 (G/T),North America,,,,,,Ku-Band,36,QPSK,0.667,
ESTRELA DO SUL 2,-63,SRX,Receive,13750.0 - 14500.0,6.9 (G/T),South Cone,,,,,,Ku-Band,36,QPSK,0.667,
ESTRELA DO SUL 2,-63,ATXV,Transmit,11450.0 - 12200.0,52.0 (EIRP),Andean Region,,,,,,"X-Band, Ku-Band",36,QPSK,0.667,
ESTRELA DO SUL 2,-63,BTXH,Transmit,11450.0 - 12200.0,53.0 (EIRP),Brazil,,,,,,"X-Band, Ku-Band",36,QPSK,0.667,
ESTRELA DO SUL 2,-63,BTXV,Transmit,11450.0 - 12200.0,53.0 (EIRP),Brazil,,,,,,"X-Band, Ku-Band",36,QPSK,0.667,
ESTRELA DO SUL 2,-63,UTX,Transmit,11450.0 - 12200.0,52.0 (EIRP),United States,,,,,,"X-Band, Ku-Band",36,QPSK,0.667,
ESTRELA DO SUL 2,-63,UTXV,Transmit,11450.0 - 12200.0,52.0 (EIRP),United States,,,,,,"X-Band, Ku-Band",36,QPSK,0.667,
ESTRELA DO SUL 2,-63,NTX,Transmit,11450.0 - 12200.0,52.0 (EIRP),North America,,,,,,"X-Band, Ku-Band",36,QPSK,0.667,
ESTRELA DO SUL 2,-63,NTXV,Transmit,11450.0 - 12200.0,52.0 (EIRP),North America,,,,,,"X-Band, Ku-Band",36,QPSK,0.667,
ESTRELA DO SUL 2,-63,STXV,Transmit,11450.0 - 12200.0,53.0 (EIRP),South Cone,,,,,,"X-Band, Ku-Band",36,QPSK,0.667,
EUTELSAT 113 WEST A,-113,CCU,Receive,5925.0 - 6425.0,4.0 (G/T),South America,,,,,,C-Band,36,QPSK,0.75,1
EUTELSAT 113 WEST A,-113,CCU,Receive,5925.0 - 6425.0,4.0 (G/T),South America,,,,,,C-Band,36,QPSK,0.75,1
EUTELSAT 113 WEST A,-113,CCD,Transmit,3700.0 - 4200.0,45.3 (EIRP),South America,,,,,,C-Band,36,QPSK,0.75,1
EUTELSAT 113 WEST A,-113,CCD,Transmit,3700.0 - 4200.0,45.5 (EIRP),South America,,,,,,C-Band,36,QPSK,0.75,1
EUTELSAT 113 WEST A,-113,CHU,Receive,14000.0 - 14500.0,1.7 (G/T),South America,,,,,,Ku-Band,36,QPSK,0.75,1
